"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Mississippi"	"28"	"2017"	"2017"	"Jun., 2017"	"2017/06"	228	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Jul., 2017"	"2017/07"	246	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Aug., 2017"	"2017/08"	236	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Sep., 2017"	"2017/09"	221	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Oct., 2017"	"2017/10"	227	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Nov., 2017"	"2017/11"	245	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Dec., 2017"	"2017/12"	291	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2017"	"2017"			2912	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Jan., 2018"	"2018/01"	280	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Feb., 2018"	"2018/02"	222	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Mar., 2018"	"2018/03"	245	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Apr., 2018"	"2018/04"	216	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"May, 2018"	"2018/05"	216	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Jun., 2018"	"2018/06"	231	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Jul., 2018"	"2018/07"	212	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Aug., 2018"	"2018/08"	236	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Sep., 2018"	"2018/09"	215	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Oct., 2018"	"2018/10"	252	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Nov., 2018"	"2018/11"	240	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Dec., 2018"	"2018/12"	225	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2018"	"2018"			2790	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Jan., 2019"	"2019/01"	264	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Feb., 2019"	"2019/02"	239	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Mar., 2019"	"2019/03"	243	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Apr., 2019"	"2019/04"	229	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"May, 2019"	"2019/05"	270	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Jun., 2019"	"2019/06"	213	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Jul., 2019"	"2019/07"	258	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Aug., 2019"	"2019/08"	231	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Sep., 2019"	"2019/09"	243	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Oct., 2019"	"2019/10"	222	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Nov., 2019"	"2019/11"	219	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	"Dec., 2019"	"2019/12"	247	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2019"	"2019"			2878	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"					32302	Not Applicable	Not Applicable
"Total"							63920	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"ICD-10 Codes: A41.0 (Septicaemia due to Staphylococcus aureus); A41.1 (Septicaemia due to other specified staphylococcus); A41.2"
"(Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia due to Haemophilus influenzae); A41.4 (Septicaemia due to"
"anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms); A41.8 (Other specified septicaemia); A41.9 (Septicaemia,"
"unspecified); C18.0 (Caecum - Malignant neoplasms); C18.1 (Appendix - Malignant neoplasms); C18.2 (Ascending colon - Malignant"
"neoplasms); C18.3 (Hepatic flexure - Malignant neoplasms); C18.4 (Transverse colon - Malignant neoplasms); C18.5 (Splenic"
"flexure - Malignant neoplasms); C18.6 (Descending colon - Malignant neoplasms); C18.7 (Sigmoid colon - Malignant neoplasms);"
"C18.8 (Overlapping lesion of colon - Malignant neoplasms); C18.9 (Colon, unspecified - Malignant neoplasms); C34.0 (Main"
"bronchus - Malignant neoplasms); C34.1 (Upper lobe, bronchus or lung - Malignant neoplasms); C34.2 (Middle lobe, bronchus or"
"lung - Malignant neoplasms); C34.3 (Lower lobe, bronchus or lung - Malignant neoplasms); C34.8 (Overlapping lesion of bronchus"
"and lung - Malignant neoplasms); C34.9 (Bronchus or lung, unspecified - Malignant neoplasms); C50.0 (Nipple and areola -"
"Malignant neoplasms); C50.1 (Central portion of breast - Malignant neoplasms); C50.2 (Upper-inner quadrant of breast - Malignant"
"neoplasms); C50.3 (Lower-inner quadrant of breast - Malignant neoplasms); C50.4 (Upper-outer quadrant of breast - Malignant"
"neoplasms); C50.5 (Lower-outer quadrant of breast - Malignant neoplasms); C50.6 (Axillary tail of breast - Malignant neoplasms);"
"C50.8 (Overlapping lesion of breast - Malignant neoplasms); C50.9 (Breast, unspecified - Malignant neoplasms); I11.0"
"(Hypertensive heart disease with (congestive) heart failure); I11.9 (Hypertensive heart disease without (congestive) heart"
"failure); I21.0 (Acute transmural myocardial infarction of anterior wall); I21.1 (Acute transmural myocardial infarction of"
"inferior wall); I21.2 (Acute transmural myocardial infarction of other sites); I21.3 (Acute transmural myocardial infarction of"
"unspecified site); I21.4 (Acute subendocardial myocardial infarction); I21.9 (Acute myocardial infarction, unspecified); I25.0"
"(Atherosclerotic cardiovascular disease, so described); I25.1 (Atherosclerotic heart disease); I25.2 (Old myocardial"
"infarction); I25.3 (Aneurysm of heart); I25.4 (Coronary artery aneurysm); I25.5 (Ischaemic cardiomyopathy); I25.6 (Silent"
"myocardial ischaemia); I25.8 (Other forms of chronic ischaemic heart disease); I25.9 (Chronic ischaemic heart disease,"
"unspecified); I46.0 (Cardiac arrest with successful resuscitation); I46.1 (Sudden cardiac death, so described); I46.9 (Cardiac"
"arrest, unspecified); J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection); J44.1 (Chronic"
"obstructive pulmonary disease with acute exacerbation, unspecified); J44.8 (Other specified chronic obstructive pulmonary"
"disease); J44.9 (Chronic obstructive pulmonary disease, unspecified)"
"Single-Year Ages: 18 years; 19 years; 20 years; 21 years; 22 years; 23 years; 24 years; 25 years; 26 years; 27 years; 28 years;"
"29 years; 30 years; 31 years; 32 years; 33 years; 34 years; 35 years; 36 years; 37 years; 38 years; 39 years; 40 years; 41"
"years; 42 years; 43 years; 44 years; 45 years; 46 years; 47 years; 48 years; 49 years; 50 years; 51 years; 52 years; 53 years;"
"54 years; 55 years; 56 years; 57 years; 58 years; 59 years; 60 years; 61 years; 62 years; 63 years; 64 years"
"States: Arkansas (05); Mississippi (28)"
"Year/Month: 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019"
"Group By: State; Year; Month"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Apr 12, 2022 9:02:34 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files, 1999-2020, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Apr 12, 2022 9:02:34 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"4. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#ICD-10 Changes."
